TEXT,LANGUAGE
உங்கள் அனைவரையும் வரவேற்கிறது,TAMIL
आप सभी का स्वागत है,HINDI
ನಿಮ್ಮೆಲ್ಲರನ್ನು ಸ್ವಾಗತಿಸುತ್ತದೆ,KANNADA
మీ అందరికీ స్వాగతం,TELUGU
നിങ്ങളെ എല്ലാവരെയും സ്വാഗതം ചെയ്യുന്നു,MALAYALAM
آپ سب کو خوش آمدید کہتے ہیں۔,URDU
WELCOME,ENGLISH
 WELCOME YOU ALL,ENGLISH
வரவேற்பு,TAMIL
ಸ್ವಾಗತ,KANNADA
స్వాగతం,TELUGU
സ്വാഗതം,MALAYALAM
خوش آمدید,URDU
کیا آپ انگلش بول سکتے ہیں,URDU
നീ ഇംഗ്ലീഷ് സംസാരിക്കുമോ,MALAYALAM
మీరు ఇంగ్లీష్ మాట్లాడతారా,TELUGU
ನೀವು ಇಂಗ್ಲಿಷ್ ಮಾತನಾಡುತ್ತೀರಾ,KANNADA
நீங்கள் ஆங்கிலம் பேசுகிறீர்களா,TAMIL
DO YOU SPEAK ENGLISH,ENGLISH
CAN YOU HELP ME,ENGLISH
کیا آپ میری مدد کر سکتے ہیں,URDU
എന്നെ സഹായിക്കാമോ,MALAYALAM
మీరు నాకు సహాయం చేయగలరా,TELUGU
ನೀವು ನನಗೆ ಸಹಾಯ ಮಾಡಬಹುದು,KANNADA
நீங்கள் எனக்கு உதவ முடியுமா,TAMIL
WHERE IS THE HOTEL,ENGLISH
ہوٹل کہاں ہے؟,URDU
ഹോട്ടൽ എവിടെയാണ്,MALAYALAM
హోటల్ ఎక్కడ ఉంది,TELUGU
ಹೋಟೆಲ್ ಎಲ್ಲಿದೆ,KANNADA
ஹோட்டல் எங்கே,TAMIL
مجھے یہ پسند ہے,URDU
എനിക്ക് ഇഷ്ടപ്പെട്ടു,MALAYALAM
నాకు అది నచ్చింది,TELUGU
ನನಗೆ ಅದು ಇಷ್ಟವಾಯಿತು,KANNADA
எனக்கு அது பிடித்திருந்தது,TAMIL
I LIKED IT,ENGLISH
I WENT TO TEMPLE,ENGLISH
میں مندر گیا۔,URDU
ഞാൻ അമ്പലത്തിൽ പോയി,MALAYALAM
నేను గుడికి వెళ్ళాను,TELUGU
ನಾನು ದೇವಸ್ಥಾನಕ್ಕೆ ಹೋಗಿದ್ದೆ,KANNADA
நான் கோவிலுக்கு சென்றேன்,TAMIL
I WENT TO OFFICE,ENGLISH
وہ ہر صبح ورزش کرتی ہے۔,URDU
അവൾ എല്ലാ ദിവസവും രാവിലെ വ്യായാമം ചെയ്യുന്നു.,MALAYALAM
"నేను ఆలయానికి వెళ్ళాను, ఆమె ప్రతి ఉదయం వ్యాయామం చేస్తుంది.",TELUGU
ಅವಳು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ವ್ಯಾಯಾಮ ಮಾಡುತ್ತಾಳೆ.,KANNADA
அவள் தினமும் காலையில் உடற்பயிற்சி செய்கிறாள்.,TAMIL
Use simple and clear language thateveryonecanunderstand.,ENGLISH
آسان اور صاف زبان استعمال کریں جسے ہر کوئی سمجھ سکے۔,URDU
ಎಲ್ಲರಿಗೂ ಅರ್ಥವಾಗುವ ಸರಳ ಮತ್ತು ಸ್ಪಷ್ಟ ಭಾಷೆಯನ್ನು ಬಳಸಿ.,KANNADA
सरल और स्पष्ट भाषा का प्रयोग करें जिसे हर कोई समझ सके।,HINDI
அனைவருக்கும் புரியும் எளிய மற்றும் தெளிவான மொழியைப் பயன்படுத்தவும்.,TAMIL
ప్రతి ఒక్కరూ అర్థం చేసుకోగలిగే సరళమైన మరియు స్పష్టమైన భాషను ఉపయోగించండి.,TELUGU
എല്ലാവർക്കും മനസ്സിലാകുന്ന ലളിതവും വ്യക്തവുമായ ഭാഷ ഉപയോഗിക്കുക.,MALAYALAM
SWITCH OFF THE LIGHT,ENGLISH
ലൈറ്റ് ഓഫ് ചെയ്യുക,MALAYALAM
لائٹ بند کر دیں۔,URDU
ಲೈಟ್ ಆಫ್ ಮಾಡಿ,KANNADA
रौशनी बंद कर दो,HINDI
ஒளியை அணைக்கவும்,TAMIL
లైట్ స్విచ్ ఆఫ్ చేయండి,TELUGU
WHAT'S GOING HERE,ENGLISH
ഇവിടെ എന്താണ് നടക്കുന്നത്,MALAYALAM
یہاں کیا ہو رہا ہے۔,URDU
ಇಲ್ಲಿ ಏನಾಗುತ್ತಿದೆ,KANNADA
यहाँ क्या हो रहा है?,HINDI
இங்கே என்ன நடக்கிறது,TAMIL
ఇక్కడ ఏమి జరుగుతోంది,TELUGU
GOOD NIGHT,ENGLISH
ശുഭ രാത്രി,MALAYALAM
شب بخیر,URDU
ಶುಭ ರಾತ್ರಿ,KANNADA
शुभ रात्रि,HINDI
இனிய இரவு,TAMIL
శుభ రాత్రి,TELUGU
DID YOU SEE THE MOVIE YESTERDAY ,ENGLISH
کیا آپ نے کل فلم دیکھی تھی۔,URDU
നിങ്ങൾ ഇന്നലെ സിനിമ കണ്ടോ,MALAYALAM
क्या आपने कल फिल्म देखी?,HINDI
ನೀವು ನಿನ್ನೆ ಚಲನಚಿತ್ರವನ್ನು ನೋಡಿದ್ದೀರಾ,KANNADA
நேற்று படம் பார்த்தீர்களா,TAMIL
మీరు నిన్న సినిమా చూసారా,TELUGU
don't laugh like a devil,ENGLISH
പിശാചിനെപ്പോലെ ചിരിക്കരുത്,MALAYALAM
شیطان کی طرح مت ہنسو,URDU
शैतान की तरह मत हंसो,HINDI
ದೆವ್ವದಂತೆ ನಗಬೇಡ,KANNADA
பிசாசு போல் சிரிக்காதே,TAMIL
దెయ్యంలా నవ్వకండి,TELUGU
ARE YOU ALRIGHT NOW,ENGLISH
ഇപ്പോൾ സുഖമാണോ,MALAYALAM
کیا آپ ابھی ٹھیک ہیں؟,URDU
क्या आप अब ठीक हैं?,HINDI
ನೀನು ಈಗ ಚೆನ್ನಾಗಿದ್ದೀಯಾ,KANNADA
మీరు ఇప్పుడు బాగున్నారా,TELUGU
இப்போது நலமாக உள்ளீர்களா,TAMIL
THANK YOU FOR VISIT,ENGLISH
സന്ദർശനത്തിന് നന്ദി,MALAYALAM
وزٹ کے لیے آپ کا شکریہ,URDU
आने के लिए धन्यवाद,HINDI
ಭೇಟಿಗಾಗಿ ಧನ್ಯವಾದಗಳು,KANNADA
సందర్శించినందుకు ధన్యవాదాలు,TELUGU
வருகைக்கு நன்றி,TAMIL
DID YOU FINISH YOUR LUNCH,ENGLISH
کیا آپ نے اپنا لنچ ختم کر لیا؟,URDU
क्या आपने अपना दोपहर का भोजन ख़त्म कर लिया?,HINDI
ನೀವು ನಿಮ್ಮ ಊಟವನ್ನು ಮುಗಿಸಿದ್ದೀರಾ,KANNADA
നിങ്ങൾ ഉച്ചഭക്ഷണം പൂർത്തിയാക്കിയോ,MALAYALAM
మీరు మీ లంచ్ ముగించారా,TELUGU
உங்கள் மதிய உணவை முடித்துவிட்டீர்களா,TAMIL
WHERE ARE YOU COMING FROM,ENGLISH
تم کہاں سے آرہے ہو,URDU
आप कहां से आ रहे हैं,HINDI
ನೀವು ಎಲ್ಲಿಂದ ಬರುತ್ತಿದ್ದೀರಾ,KANNADA
താങ്കൾ എവിടെ നിന്ന് വരുന്നു,MALAYALAM
నువ్వు ఎక్కడి నుండి వస్తున్నావు,TELUGU
நீ எங்கிருந்து வருகிறாய்,TAMIL
Tamil is a beautiful language,ENGLISH
تامل ایک خوبصورت زبان ہے۔,URDU
तमिल एक खूबसूरत भाषा है,HINDI
ತಮಿಳು ಒಂದು ಸುಂದರ ಭಾಷೆ,KANNADA
തമിഴ് മനോഹരമായ ഭാഷയാണ്,MALAYALAM
తమిళం ఒక అందమైన భాష,TELUGU
தமிழ் அழகான மொழி,TAMIL
College leave for today,ENGLISH
آج کالج کی چھٹی,URDU
आज कॉलेज की छुट्टी,HINDI
ഇന്ന് കോളേജിന് അവധി,MALAYALAM
ఈరోజు కాలేజీకి సెలవు,TELUGU
ಇವತ್ತು ಕಾಲೇಜಿಗೆ ರಜೆ,KANNADA
ARE YOU FINE,ENGLISH
آپ ٹھیک ہیں,URDU
क्या आप ठीक हैं,HINDI
നിങ്ങൾക്ക് സുഖമാണോ,MALAYALAM
నువ్వు క్షేమమేనా,TELUGU
ನೀವು ಚೆನ್ನಾಗಿದ್ದೀರಾ,KANNADA
நீங்கள் நலமாக இருக்கிறீர்களா,TAMIL
வணக்கம்,TAMIL
Hello ,ENGLISH
హలో,TELUGU
السلام علیکم ,URDU
ഹലോ,MALAYALAM
ನಮಸ್ಕಾರ,KANNADA
ಶುಭಾಷಯಗಳು ,KANNADA
അഭിവാദ്യം ,MALAYALAM
శుభాకాంక్షలు,TELUGU
எப்படி அழகான இடம்!,TAMIL
What a beautiful place!,ENGLISH
ఏ అంగనం చూసారు! ,TELUGU
کتنا خوبصورت مقام ہے! ,URDU
എങ്ങനെ സുന്ദരമായ സ്ഥലം!,MALAYALAM
ಎಷ್ಟು ಸುಂದರವಾದ ಸ್ಥಳ!,KANNADA
நேரம் என்ன,TAMIL
What is the time?,ENGLISH
సమయం ఏమిటి? ,TELUGU
وقت کیا ہوا ہے؟ ,URDU
സമയം എന്താണ്?,MALAYALAM
ಸಮಯ ಏನು?,KANNADA
When did you come?,ENGLISH
ఎప్పుడు రాను? ,TELUGU
آپ کب آئے ہیں؟ ,URDU
എപ്പോഴും വന്നതായിരിക്കുക,MALAYALAM
ನೀವು ಯಾವಾಗ ಬಂದಿದ್ದೀರಾ?,KANNADA
சந்தோஷம் ,TAMIL
Happiness,ENGLISH
ఆనందం ,TELUGU
خوشی ,URDU
സന്തോഷം ,MALAYALAM
ಸಂತೋಷ ,KANNADA
Don't forget old things,ENGLISH
పాత వస్తువులను మర్చిపోకండి ,TELUGU
പഴയ കാരണങ്ങൾ മറക്കരുത് ,MALAYALAM
پرانی چیزوں کو بھولنا نہیں ,URDU
ಹಳೆಯ ವಿಷಯಗಳನ್ನು ಮರೆಯಬೇಡಿ,KANNADA
When will the work be completed,ENGLISH
ఎప్పుడు పని ముగియిపోతుంది,TELUGU
کام کب مکمل ہوگا؟,URDU
എപ്പോൾ ജോലി അവസാനിക്കും,MALAYALAM
ಎಪ್ಪಾಡು ಕೆಲಸ ಮುಗಿಯುತ್ತದೆ?,KANNADA
நாளைக்கு பார்க்கோம் ,TAMIL
Let's see tomorrow.,ENGLISH
రేపు చూస్తాం,TELUGU
ہمیں کل دیکھ لیں,URDU
നാളെ കാണാം,MALAYALAM
ನಾವು ನಾಳೆ ನೋಡೋಣ,KANNADA
உனக்கு புரியுதா,TAMIL
